Date,Open,High,Low,Close,Volume
03/30/2021,6.98,7.01,6.83,6.975,2141412
03/29/2021,6.93,7.0299,6.7401,6.75,4462130
03/26/2021,6.91,6.96,6.74,6.84,5397887
03/25/2021,7.2,7.5592,7.17,7.39,6325424
03/24/2021,7.17,7.23,6.8149999999999995,6.92,5642424
03/23/2021,7.39,7.6592,7.19,7.63,7233093
03/22/2021,6.89,7,6.82,6.97,2322016
03/19/2021,7.22,7.419,6.88,6.95,7456144
03/18/2021,6.64,7.62,6.63,7.34,7481762
03/17/2021,6.49,6.5999,6.41,6.44,2603438
03/16/2021,6.54,6.6,6.3949,6.46,2873439
03/15/2021,6.45,6.58,6.34,6.36,3135023
03/12/2021,6.34,6.3799,6.28,6.35,2085686
03/11/2021,6.46,6.5199,6.28,6.3,3554377
03/10/2021,6.65,6.77,6.5,6.5199,3840914
03/09/2021,6.5199,6.7099,6.49,6.7,5522736
03/08/2021,6.44,6.62,6.4099,6.6,3926647
03/05/2021,6.48,6.53,6.35,6.37,5574055
03/04/2021,7.13,7.25,6.64,6.78,9524053
03/03/2021,7.43,7.6,7.17,7.36,5453069
03/02/2021,7.42,7.745,7.38,7.73,7853353
03/01/2021,7.31,7.65,7.2,7.5600000000000005,3994255
02/26/2021,7.05,7.37,7.0477,7.3,4149969
02/25/2021,6.98,7.03,6.84,6.9399999999999995,4362211
02/24/2021,7.15,7.172,6.9,6.92,4911797
02/23/2021,7.39,7.549,7.2,7.24,4501582
02/22/2021,7.65,7.65,7.3166,7.37,5350992
02/19/2021,7.78,8.0399,7.6899999999999995,8,4284105
02/18/2021,7.49,7.8399,7.47,7.78,4352949
02/17/2021,7.79,7.84,7.535,7.5600000000000005,4101996
02/16/2021,7.82,7.87,7.71,7.72,3596574
02/12/2021,8.2899,8.3099,7.87,7.93,4184079
02/11/2021,8.17,8.36,8.16,8.32,2431303
02/10/2021,8.22,8.31,8.1199,8.2,3523787
02/09/2021,8.45,8.51,8.23,8.24,3337259
02/08/2021,8.57,8.57,8.33,8.35,3166914
02/05/2021,8.6199,8.7899,8.583,8.67,2281407
02/04/2021,8.93,9.1306,8.7899,8.85,2509288
02/03/2021,9.14,9.15,8.86,9.03,3886660
02/02/2021,9.21,9.3794,9.21,9.32,3127557
02/01/2021,9.9,10.1801,9.67,9.7,3560533
01/29/2021,9.98,10.2693,9.9001,10.22,2909349
01/28/2021,9.83,10.205,9.785,10.18,2706030
01/27/2021,10.1,10.31,9.81,10.07,3040625
01/26/2021,9.93,10.11,9.885,10.08,1388087
01/25/2021,10.27,10.32,9.96,9.99,2029885
01/22/2021,10.34,10.3713,9.991,10.19,2533942
01/21/2021,9.86,9.9708,9.7899,9.9,1541411
01/20/2021,9.7,9.95,9.6899,9.9,1808254
01/19/2021,9.94,10.0399,9.85,9.92,2034303
01/15/2021,9.95,10.2449,9.881,10.13,2583462
01/14/2021,9.93,9.9825,9.63,9.65,2745627
01/13/2021,9.92,10.005,9.7508,9.88,2388547
01/12/2021,10,10.0399,9.8,9.86,2970779
01/11/2021,10.45,10.48,10.14,10.23,2497607
01/08/2021,10.44,10.5399,10.11,10.14,3648816
01/07/2021,10.76,10.8,10.64,10.66,2512617
01/06/2021,10.99,11.24,10.7,10.93,4593285
01/05/2021,11.34,11.34,10.85,11.01,7958844
01/04/2021,11.6199,12.15,11.435,12.0399,8111069
12/31/2020,11.84,11.9,11.59,11.64,1887338
12/30/2020,11.9,11.925,11.4899,11.7,2528107
12/29/2020,11.66,11.855,11.625,11.75,1555325
12/28/2020,11.73,11.9603,11.5904,11.92,2434883
12/24/2020,11.88,11.941,11.69,11.69,1607145
12/23/2020,12.1336,12.14,11.59,11.8,4229706
12/22/2020,12.18,12.3696,12.05,12.3,3739833
12/21/2020,12.23,12.2698,11.7899,11.93,3804514
12/18/2020,11.5,11.5292,11.26,11.3699,3432769
12/17/2020,11.7,11.7621,11.5689,11.59,1901163
12/16/2020,12.05,12.2,11.86,11.9,3069327
12/15/2020,12.2221,12.2759,12,12.06,2191920
12/14/2020,12.33,12.92,12.28,12.33,4002578
12/11/2020,12.44,12.64,12.3798,12.51,2322884
12/10/2020,12.58,12.586,11.9642,12.4,6160407
12/09/2020,12.7899,13.2917,12.72,12.98,4406802
12/08/2020,13.08,13.21,12.88,12.93,2008944
12/07/2020,12.93,13.02,12.61,12.95,2950297
12/04/2020,13.1,13.1092,12.7316,12.86,3187090
12/03/2020,13.41,13.48,13.0604,13.18,2982743
12/02/2020,13.6,13.6,12.95,13.32,5016202
12/01/2020,13.37,13.81,13.32,13.62,3176242
11/30/2020,13.17,13.535,13.075,13.31,5451361
11/27/2020,13.16,13.23,12.985,13.09,2344030
11/25/2020,13.03,13.27,12.78,13,5442410
11/24/2020,13.96,13.97,13.24,13.46,7145622
11/23/2020,14.48,14.657,14.385,14.64,4177859
11/20/2020,15.11,15.12,14.73,14.81,3210499
11/19/2020,15.08,15.2804,14.91,14.99,3005765
11/18/2020,14.95,15.06,14.6896,15.05,5278295
11/17/2020,15.45,15.55,15.03,15.15,3104430
11/16/2020,14.89,15.39,14.85,15.23,3662383
11/13/2020,15.51,15.985,15.475,15.89,3305895
11/12/2020,14.87,15.42,14.65,15.36,6818264
11/11/2020,14.4117,15.125,14.37,15.01,4108227
