Date,Open,High,Low,Close,Volume
03/30/2021,54.29,55.46,54.045,54.24,624212
03/29/2021,54.71,56.23,53.9,56.15,1198273
03/26/2021,55,56.1526,54.65,55.49,1452518
03/25/2021,53.06,53.3985,50.2159,51.57,2117882
03/24/2021,53.83,56.29,53.5359,55.44,1838697
03/23/2021,52.76,54.37,50.46,50.9099,2489196
03/22/2021,56.81,57.31,55.8614,56.17,889142
03/19/2021,54.18,56.84,52.874,56.32,1669950
03/18/2021,59.78,59.975,51.31,53.3,3977136
03/17/2021,61.32,62,60.29,61.66,817401
03/16/2021,60.81,62.17,60.16,61.59,916216
03/15/2021,61.63,62.68,60.45,62.46,1348961
03/12/2021,62.66,63.35,62.3,62.68,920072
03/11/2021,61.65,63.35,61.15,63.23,1304086
03/10/2021,60,61.255,58.85,61.06,1258284
03/09/2021,61.27,61.4663,59.4763,59.59,1561081
03/08/2021,61.87,62.3,60.217,60.53,1963642
03/05/2021,61.69,62.79,61.3,62.73,1777793
03/04/2021,56.43,60.15,55.5,59.2,2737717
03/03/2021,54.25,56.05,53.31,54.69,1394561
03/02/2021,54.42,54.71,52.11,52.15,1338983
03/01/2021,55.37,56.1207,52.691,53.42,1664270
02/26/2021,57.55,57.585,54.8,55.33,1449627
02/25/2021,58.18,59.33,57.75,58.52,1824880
02/24/2021,56.9881,58.8,56.71,58.65,2113814
02/23/2021,55.01,56.57,53.9,56.31,2366137
02/22/2021,53.51,55.6599,53.51,55.29,2205477
02/19/2021,52.77,53.3499,50.8853,51.24,1756851
02/18/2021,54.82,54.92,52.2849,52.7,2061015
02/17/2021,52.73,54.45,52.365,54.34,2095638
02/16/2021,52.53,53.26,52.17,53.2,2026402
02/12/2021,49.6,52.177,49.53,51.84,2662731
02/11/2021,50.4,50.4799,49.2261,49.43,1882652
02/10/2021,50.15,50.677,49.55,50.18,2514272
02/09/2021,48.86,50.04,48.38,49.93,2263995
02/08/2021,48.21,49.4375,48.205,49.35,1769184
02/05/2021,47.87,48.01,46.96,47.53,1997891
02/04/2021,46.2,46.94,45.21,46.61,1978845
02/03/2021,45.17,46.5,45.15,45.77,2713634
02/02/2021,44.8,44.81,44.07,44.31,1829661
02/01/2021,41.9099,42.85,40.76,42.68,2317811
01/29/2021,41.65,41.9,40.4336,40.59,1825523
01/28/2021,42.27,42.45,40.69,40.7299,1775490
01/27/2021,41.165,42.28,40.24,41.3,1833242
01/26/2021,41.8,42.0286,41.08,41.2,1102720
01/25/2021,40.43,41.6999,40.26,41.55,1568343
01/22/2021,40.09,41.62,40,40.76,2113677
01/21/2021,42.1719,42.52,41.7,42.01,1075322
01/20/2021,42.89,42.96,41.77,41.96,1556073
01/19/2021,41.92,42.28,41.46,41.97,1714346
01/15/2021,41.95,42.18,40.5673,41.15,2572852
01/14/2021,41.99,43.3,41.76,43.17,1663579
01/13/2021,42.05,42.8,41.69,42.18,1655658
01/12/2021,41.82,42.59,41.62,42.34,1999922
01/11/2021,39.96,41.18,39.82,40.88,1849045
01/08/2021,40.13,41.34,39.74,41.19,2323273
01/07/2021,38.95,39.36,38.77,39.28,2614255
01/06/2021,38.08,39.12,37.2325,38.31,3537945
01/05/2021,37.1201,38.59,37.12,38.11,5710740
01/04/2021,36.34,36.94,34.72,35,4758652
12/31/2020,35.7,36.44,35.4697,36.27,1698909
12/30/2020,35.49,36.77,35.42,36.06,2342970
12/29/2020,36.25,36.3228,35.64,35.89,1615272
12/28/2020,36.11,36.4615,35.33,35.51,2757916
12/24/2020,35.56,36.15,35.4,36.13,1024797
12/23/2020,34.94,36.45,34.92,35.82,3045591
12/22/2020,34.84,35.22,34.26,34.42,3211329
12/21/2020,34.56,36.01,34.42,35.54,5616456
12/18/2020,37.07,37.76,36.9099,37.4,2801045
12/17/2020,36.39,36.8,36.2,36.68,2282672
12/16/2020,35.37,35.92,34.9099,35.8,3036731
12/15/2020,34.87,35.4787,34.71,35.32,2621611
12/14/2020,34.53,34.69,32.95,34.55,3630119
12/11/2020,34.3,34.46,33.71,34.04,1959280
12/10/2020,33.96,35.5,33.911,34.4099,4173505
12/09/2020,33.43,33.6,32.12,32.89,3595689
12/08/2020,32.7,33.18,32.348,33.03,2316950
